"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"090931",NA,711,"ANISE BADIAN FENNEL","MT"
"090932",NA,711,"ANISE BADIAN FENNEL","MT"
"090961",NA,711,"ANISE BADIAN FENNEL","MT"
"090962",NA,711,"ANISE BADIAN FENNEL","MT"
"091011",NA,720,"GINGER","MT"
"091012",NA,720,"GINGER","MT"
"091020",NA,723,"SPICES NES","MT"
"091030",NA,723,"SPICES NES","MT"
"091091",NA,723,"SPICES NES","MT"
"091099",NA,723,"SPICES NES","MT"
"100111",NA,15,"WHEAT","MT"
"100119",NA,15,"WHEAT","MT"
"100191",NA,15,"WHEAT","MT"
"100199",NA,15,"WHEAT","MT"
"100210",NA,71,"RYE","MT"
"100290",NA,71,"RYE","MT"
"100310",NA,44,"BARLEY","MT"
"100390",NA,44,"BARLEY","MT"
"100410",NA,75,"OATS","MT"
"100490",NA,75,"OATS","MT"
"100510",NA,56,"MAIZE","MT"
"100590",NA,56,"MAIZE","MT"
"100610",NA,27,"RICE PADDY","MT"
"100620",NA,28,"RICE HUSKED","MT"
"100630",NA,29,"MILLED/HUSKED RICE","MT"
"100630",NA,31,"RICE MILLED","MT"
"100640",NA,32,"RICE BROKEN","MT"
"100710",NA,83,"SORGHUM","MT"
"100790",NA,83,"SORGHUM","MT"
"100810",NA,89,"BUCKWHEAT","MT"
"100821",NA,79,"MILLET","MT"
"100829",NA,79,"MILLET","MT"
"100830",NA,101,"CANARY SEED","MT"
"100840",NA,94,"FONIO","MT"
"100850",NA,92,"QUINOA","MT"
"100860",NA,97,"TRITICALE","MT"
"100890",NA,103,"MIXED GRAIN","MT"
"100890",NA,108,"CEREALS NES","MT"
"110100",NA,16,"FLOUR OF WHEAT","MT"
"110220",NA,58,"FLOUR OF MAIZE","MT"
"110290",NA,38,"RICE FLOUR","MT"
"110290",NA,48,"BARLEY FLOUR AND GRITS","MT"
"110290",NA,72,"FLOUR OF RYE","MT"
"110290",NA,80,"FLOUR OF MILLET","MT"
"110290",NA,84,"FLOUR OF SORGHUM","MT"
"110290",NA,90,"FLOUR OF BUCKWHEAT","MT"
"110290",NA,95,"FLOUR OF FONIO","MT"
"110290",NA,98,"FLOUR OF TRITICALE","MT"
"110290",NA,104,"FLOUR OF MIXED GRAIN","MT"
"110290",NA,111,"FLOUR OF CEREALS","MT"
"110311",NA,16,"FLOUR OF WHEAT","MT"
"110313",NA,58,"FLOUR OF MAIZE","MT"
"110319",NA,38,"RICE FLOUR","MT"
"110319",NA,48,"BARLEY FLOUR AND GRITS","MT"
"110319",NA,72,"FLOUR OF RYE","MT"
"110319",NA,80,"FLOUR OF MILLET","MT"
"110319",NA,84,"FLOUR OF SORGHUM","MT"
"110319",NA,90,"FLOUR OF BUCKWHEAT","MT"
"110319",NA,95,"FLOUR OF FONIO","MT"
"110319",NA,98,"FLOUR OF TRITICALE","MT"
"110319",NA,104,"FLOUR OF MIXED GRAIN","MT"
"110319",NA,111,"FLOUR OF CEREALS","MT"
