"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"894","5910","01243","2017",5.00026,""
"894","5910","01252","2017",5.50028,""
"894","5910","01253.02","2017",187.51042,""
"894","5910","01290.90","2017",964.81492,""
"894","5910","01312","2017",5.00026,""
"894","5910","01330","2017",40.6151,""
"894","5910","01341","2017",1.48394,""
"894","5910","01359.90","2017",123.68654,""
"894","5910","01379.90","2017",83.6044,""
"894","5910","0141","2017",83748.06666,""
"894","5910","0142","2017",1108.36931,""
"894","5910","0143","2017",4620.5964,""
"894","5910","01445","2017",30.20161,""
"894","5910","01449.90","2017",3.00526,""
"894","5910","01510","2017",1.01503,""
"894","5910","01520.02","2017",40.0021,""
"894","5910","01530","2017",0.075,""
"894","5910","01599.10","2017",827.29281,""
"894","5910","01610","2017",2505.88021,"I"
"894","5910","01620","2017",36.4504,""
"894","5910","01651","2017",9.14048,""
"894","5910","01699","2017",26.00338,""
"894","5910","01701","2017",9250.7697,""
"894","5910","01705","2017",193.2301,""
"894","5910","01706","2017",1538.23518,""
"894","5910","01707","2017",500.027,""
"894","5910","01709.90","2017",834.156,""
"894","5910","01802","2017",0.28001,""
"894","5910","01921.02","2017",26351.4645,""
"894","5910","01929.90","2017",2.0001,""
"894","5910","01970","2017",26828.63323,""
"894","5910","02211","2017",36.28194,""
"894","5910","0231","2017",684.12219,""
"894","5910","0232","2017",4.17522,""
"894","5910","02910","2017",827.28205,""
"894","5910","02951.05","2017",142.8656,""
"894","5910","02959.30","2017",48.64054,""
"894","5910","02959.99","2017",1918.016,""
"894","5910","02960.02","2017",29.56823,""
"894","5910","17400","2017",74.07256,""
"894","5910","21111.01","2017",2.50013,""
"894","5910","21111.02","2017",0.32851,""
"894","5910","21113.01","2017",0.293,""
"894","5910","21115","2017",0.02,""
"894","5910","21121","2017",958.33785,""
"894","5910","21151","2017",184.995,""
"894","5910","21170.92","2017",16.61052,""
"894","5910","21181","2017",0.40002,""
"894","5910","21182","2017",0.16,""
"894","5910","21183","2017",1.50008,""
"894","5910","21184.02","2017",2.28392,""
"894","5910","21190.01","2017",2419.7011,""
"894","5910","21291","2017",65.0034,""
"894","5910","21313","2017",0.1748,"I"
"894","5910","21340","2017",510.27681,""
"894","5910","21392","2017",32.60282,""
"894","5910","21393.01","2017",8810.60156,""
"894","5910","21393.90","2017",1312.8107,""
"894","5910","21399.01","2017",25.4533,""
"894","5910","21419.91","2017",0.02,""
"894","5910","21419.99","2017",5.35027,""
"894","5910","21421","2017",139.43738,""
"894","5910","21431.01","2017",302.84117,""
"894","5910","21439.04","2017",37.0016,"I"
"894","5910","21439.9","2017",587.25514,""
"894","5910","2161","2017",1172.19234,""
"894","5910","21631.01","2017",695.43974,""
"894","5910","2165","2017",743.3583,""
"894","5910","2167","2017",0.48402,""
"894","5910","2168","2017",63.0034,""
"894","5910","21691.90","2017",2.23209,""
"894","5910","21700.02","2017",113.0594,""
"894","5910","21800","2017",3339.6698,""
"894","5910","21910.03","2017",129044.6522,""
"894","5910","21910.07","2017",2933.3266,""
"894","5910","21910.15","2017",15132.2764,""
"894","5910","21910.16","2017",261.734,""
"894","5910","21910.90","2017",472.1403,""
"894","5910","21920","2017",21158.9962,""
"894","5910","22110.01","2017",0.01,""
"894","5910","22110.02","2017",0.78584,""
"894","5910","22211","2017",138.99301,""
"894","5910","22221.01","2017",74.52389,""
"894","5910","22222.01","2017",11.67205,""
"894","5910","22230.02","2017",4612.44561,""
"894","5910","22230.04","2017",1.41053,""
"894","5910","22241.01","2017",0.56056,""
"894","5910","22241.02","2017",7.00037,""
"894","5910","22251.01","2017",0.27046,""
"894","5910","23110","2017",2756.8964,""
"894","5910","23120.03","2017",21555.8996,""
"894","5910","23120.90","2017",860.97531,""
"894","5910","23140.03","2017",1787.62873,""
"894","5910","23140.08","2017",951.9132,""
"894","5910","23161.02","2017",1917.0688,""
"894","5910","23161.03","2017",934.0487,""
"894","5910","23170.01","2017",10.0005,""
"894","5910","23170.03","2017",4.00021,""
"894","5910","23210.01","2017",3.20017,""
"894","5910","23210.02","2017",2.0001,""
"894","5910","23210.04","2017",1052.13878,""
"894","5910","23220.04","2017",1024.2245,""
"894","5910","23220.06","2017",10.0005,""
"894","5910","2351f","2017",165441.2987,""
"894","5910","23520","2017",32546.0592,""
"894","5910","23540","2017",49136.03846,""
"894","5910","23670.01","2017",7666.32271,""
"894","5910","23670.02","2017",2.07508,""
"894","5910","23911","2017",0.54102,""
"894","5910","23912.01","2017",0.36401,""
"894","5910","23912.02","2017",697.74253,""
"894","5910","23914","2017",0.63203,""
"894","5910","23991.01","2017",1.78509,""
"894","5910","23991.04","2017",20.70664,""
"894","5910","23993.01","2017",6.51234,""
"894","5910","23993.03","2017",9.00048,""
"894","5910","23995.01","2017",0.1,""
"894","5910","23999.02","2017",15.60079,""
"894","5910","24110","2017",1247.2816,""
"894","5910","2413","2017",2780.70169,""
"894","5910","24212.02","2017",0.95923,""
"894","5910","24230.03","2017",25.0013,""
"894","5910","24310.01","2017",16.68213,""
"894","5910","24490","2017",72677.39782,""
"894","5910","25020.01","2017",99.98286,""
"894","5910","26130","2017",0.015,""
"894","5910","34120","2017",846.0047,""
