"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5141","23140.01","2014",0,"I","e"
"894","5141","23140.01","2013",0,"I","e"
"894","5141","23140.01","2012",0,"I","e"
"894","5141","23140.01","2011",0,"I","e"
"894","5141","23140.01","2010",0,"I","e"
"894","261","23140.01","2022",0,"T","i"
"894","261","23140.01","2021",0,"T","i"
"894","261","23140.01","2020",0,"T","i"
"894","261","23140.01","2019",0,"T","i"
"894","261","23140.01","2018",0,"T","i"
"894","261","23140.01","2017",0,"T","i"
"894","261","23140.01","2016",0,"T","i"
"894","261","23140.01","2015",0,"T","i"
"894","261","23140.01","2014",0,"T","i"
"894","261","23140.01","2013",0,"T","i"
"894","261","23140.01","2012",0,"T","i"
"894","261","23140.01","2011",0,"T","i"
"894","261","23140.01","2010",0,"T","i"
"894","271","23140.01","2022",0,"T","i"
"894","271","23140.01","2021",0,"T","i"
"894","271","23140.01","2020",0,"T","i"
"894","271","23140.01","2019",0,"T","i"
"894","271","23140.01","2018",0,"T","i"
"894","271","23140.01","2017",0,"T","i"
"894","271","23140.01","2016",0,"T","i"
"894","271","23140.01","2015",0,"T","i"
"894","271","23140.01","2014",0,"T","i"
"894","271","23140.01","2013",0,"T","i"
"894","271","23140.01","2012",0,"T","i"
"894","271","23140.01","2011",0,"T","i"
"894","271","23140.01","2010",0,"T","i"
"894","281","23140.01","2022",0,"T","i"
"894","281","23140.01","2021",0,"T","i"
"894","281","23140.01","2020",0,"T","i"
"894","281","23140.01","2019",0,"T","i"
"894","281","23140.01","2018",0,"T","i"
"894","281","23140.01","2017",0,"T","i"
"894","281","23140.01","2016",0,"T","i"
"894","281","23140.01","2015",0,"T","i"
"894","281","23140.01","2014",0,"T","i"
"894","281","23140.01","2013",0,"T","i"
"894","281","23140.01","2012",0,"T","i"
"894","281","23140.01","2011",0,"T","i"
"894","281","23140.01","2010",0,"T","i"
"894","664","23140.01","2022",0,"T","i"
