"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","665","S2515","2019",NA,NA,NA
"894","665","S2515","2018",NA,NA,NA
"894","665","S2515","2017",NA,NA,NA
"894","665","S2515","2016",NA,NA,NA
"894","665","S2515","2015",NA,NA,NA
"894","665","S2515","2014",NA,NA,NA
"894","5610","S2516","2022",NA,NA,NA
"894","5610","S2516","2021",NA,NA,NA
"894","5610","S2516","2020",NA,NA,NA
"894","5610","S2516","2019",NA,NA,NA
"894","5610","S2516","2018",NA,NA,NA
"894","5610","S2516","2017",NA,NA,NA
"894","5610","S2516","2016",NA,NA,NA
"894","5610","S2516","2015",NA,NA,NA
"894","5610","S2516","2014",NA,NA,NA
"894","5071","S2516","2022",NA,NA,NA
"894","5071","S2516","2021",NA,NA,NA
"894","5071","S2516","2020",NA,NA,NA
"894","5071","S2516","2019",NA,NA,NA
"894","5071","S2516","2018",NA,NA,NA
"894","5071","S2516","2017",NA,NA,NA
"894","5071","S2516","2016",NA,NA,NA
"894","5071","S2516","2015",NA,NA,NA
"894","5071","S2516","2014",NA,NA,NA
"894","5910","S2516","2021",NA,NA,NA
"894","5910","S2516","2020",NA,NA,NA
"894","5910","S2516","2018",NA,NA,NA
"894","5910","S2516","2014",NA,NA,NA
"894","5520","S2516","2022",NA,NA,NA
"894","5520","S2516","2020",NA,NA,NA
"894","5520","S2516","2019",NA,NA,NA
"894","5520","S2516","2018",NA,NA,NA
"894","5520","S2516","2017",NA,NA,NA
"894","5520","S2516","2016",NA,NA,NA
"894","5520","S2516","2015",NA,NA,NA
"894","5520","S2516","2014",NA,NA,NA
"894","5141","S2516","2022",NA,NA,NA
"894","5141","S2516","2021",NA,NA,NA
"894","5141","S2516","2020",NA,NA,NA
"894","5141","S2516","2019",NA,NA,NA
"894","5141","S2516","2018",NA,NA,NA
"894","5141","S2516","2017",NA,NA,NA
"894","5141","S2516","2016",NA,NA,NA
"894","5141","S2516","2015",NA,NA,NA
"894","5141","S2516","2014",NA,NA,NA
"894","261","S2516","2022",NA,NA,NA
"894","261","S2516","2021",NA,NA,NA
"894","261","S2516","2020",NA,NA,NA
"894","261","S2516","2019",NA,NA,NA
"894","261","S2516","2018",NA,NA,NA
"894","261","S2516","2017",NA,NA,NA
"894","261","S2516","2016",NA,NA,NA
"894","261","S2516","2015",NA,NA,NA
"894","261","S2516","2014",NA,NA,NA
"894","271","S2516","2022",NA,NA,NA
"894","271","S2516","2021",NA,NA,NA
"894","271","S2516","2020",NA,NA,NA
"894","271","S2516","2019",NA,NA,NA
"894","271","S2516","2018",NA,NA,NA
"894","271","S2516","2017",NA,NA,NA
"894","271","S2516","2016",NA,NA,NA
"894","271","S2516","2015",NA,NA,NA
"894","271","S2516","2014",NA,NA,NA
"894","281","S2516","2022",NA,NA,NA
"894","281","S2516","2021",NA,NA,NA
"894","281","S2516","2020",NA,NA,NA
"894","281","S2516","2019",NA,NA,NA
"894","281","S2516","2018",NA,NA,NA
"894","281","S2516","2017",NA,NA,NA
"894","281","S2516","2016",NA,NA,NA
"894","281","S2516","2015",NA,NA,NA
"894","281","S2516","2014",NA,NA,NA
"894","664","S2516","2022",NA,NA,NA
"894","664","S2516","2021",NA,NA,NA
"894","664","S2516","2020",NA,NA,NA
"894","664","S2516","2019",NA,NA,NA
"894","664","S2516","2018",NA,NA,NA
"894","664","S2516","2017",NA,NA,NA
"894","664","S2516","2016",NA,NA,NA
"894","664","S2516","2015",NA,NA,NA
"894","664","S2516","2014",NA,NA,NA
"894","674","S2516","2022",NA,NA,NA
"894","674","S2516","2021",NA,NA,NA
"894","674","S2516","2020",NA,NA,NA
"894","674","S2516","2019",NA,NA,NA
"894","674","S2516","2018",NA,NA,NA
"894","674","S2516","2017",NA,NA,NA
"894","674","S2516","2016",NA,NA,NA
